owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
John Blewett,2,0,0.0,20.5,16,25,31.5,30,33,0.0,0,0,68.5,,10370,5185,5770,4600
John Borneman,2,0,0.0,32.0,31,33,28.0,23,33,0.0,0,0,79.0,,11015,5508,9815,1200
John Conely,45,0,0.0,25.78,8,36,22.71,3,36,0.16,7,4,93.89,,349515,7767,19525,4690
John Corr,12,0,0.0,24.08,17,33,24.25,16,33,0.0,0,0,18.58,,130107,10842,16317,7035
John King,1,0,0.0,19.0,19,19,28.0,28,28,0.0,0,0,16.0,,8400,8400,8400,8400
John Menard,32,1,0.03125,11.56,1,30,11.47,1,35,4.69,150,50,128.59,,443665,13865,70485,7515
John Nemechek,27,0,0.0,17.33,6,31,18.93,7,36,0.0,0,0,106.41,,164027,6075,11100,4800
John Redding,9,0,0.0,19.89,13,32,21.33,12,35,0.0,0,0,99.0,,22200,2467,3400,1650
John Young,4,0,0.0,25.0,22,28,29.0,23,33,0.0,0,0,76.0,,29420,7355,10365,5420
Johnny Dangerfield,1,0,0.0,21.0,21,21,31.0,31,31,0.0,0,0,70.0,,7485,7485,7485,7485
Jordan Anderson,95,0,0.0,23.96,7,36,21.88,2,37,0.06,6,2,14.52,0.0,0,,,
Josh Reaume,236,0,0.0,29.54,7,40,26.52,4,40,0.01,3,1,9.28,0.0,0,,,
Judith Ann Midgley,3,0,0.0,31.67,29,35,26.67,24,28,0.0,0,0,83.0,,24495,8165,9340,6490
K.D. Moore,1,0,0.0,30.0,30,30,35.0,35,35,0.0,0,0,9.0,,7245,7245,7245,7245
Kart Idaho Racing,1,0,0.0,25.0,25,25,16.0,16,16,0.0,0,0,21.0,0.0,0,,,
Ken Davis,2,0,0.0,35.5,35,36,20.5,19,22,0.0,0,0,101.5,,13670,6835,8190,5480
Ken Hunt,2,0,0.0,28.0,21,35,18.0,17,19,0.5,1,1,0.0,,13180,6590,7390,5790
Ken Schrader,173,1,0.00578,15.65,1,36,16.65,1,38,2.13,369,61,111.68,,1522457,8800,38740,1400
Ken Small,2,0,0.0,21.5,19,24,26.5,24,29,0.0,0,0,83.5,,15380,7690,8490,6890
Ken Smith,136,0,0.0,24.18,2,35,25.1,3,36,0.28,38,17,58.28,,1347688,9909,27339,6010
Ken Weaver,11,0,0.0,29.18,19,35,25.73,15,34,0.0,0,0,74.73,,96975,8816,11415,5265
Kenneth Appling,1,0,0.0,27.0,27,27,32.0,32,32,0.0,0,0,67.0,,4600,4600,4600,4600
Kenneth Brown,2,0,0.0,15.5,13,18,25.5,19,32,0.0,0,0,86.5,,10320,5160,5495,4825
Kenny Allen,50,0,0.0,26.88,7,39,22.3,10,38,0.0,0,0,96.12,,238967,4779,10800,1600
Kenny Habul,1,0,0.0,32.0,32,32,26.0,26,26,0.0,0,0,0.0,,9350,9350,9350,9350
Kenny Yontz,4,0,0.0,33.25,30,36,31.5,28,36,0.0,0,0,49.5,,28210,7053,8165,5965
Kerry Scherer,1,0,0.0,30.0,30,30,33.0,33,33,0.0,0,0,64.0,,5975,5975,5975,5975
Kevin Banning,7,0,0.0,23.43,16,30,23.29,12,35,0.0,0,0,93.14,,55365,7909,9770,6040
Kevin Buckler,55,1,0.01818,21.04,4,34,19.65,1,36,0.33,18,17,105.42,,669878,12180,45500,7135
Kevin Cywinski,61,0,0.0,25.39,3,36,23.59,7,36,0.02,1,1,16.52,0.0,303298,10459,15725,6350
Kevin Doran,21,0,0.0,21.33,7,39,24.48,11,34,0.0,0,0,89.57,,123870,5899,13250,1400
Kevin Grubb,4,0,0.0,14.25,6,22,19.25,11,35,0.0,0,0,105.25,,20650,5163,6825,3750
Kevin Harvick,373,43,0.11528,9.28,1,36,10.89,1,35,19.45,7256,187,113.25,,7102938,19043,84875,6050
Kevin Jones,2,0,0.0,30.5,25,36,28.0,27,29,0.0,0,0,79.0,,12080,6040,6765,5315
Kim Hansen,1,0,0.0,34.0,34,34,29.0,29,29,0.0,0,0,76.0,,9215,9215,9215,9215
Kurt Roehrig,93,4,0.04301,12.69,1,36,15.72,1,36,6.8,632,182,119.03,,859266,9239,56400,1925
Kyle Busch,822,100,0.12165,8.88,1,37,11.27,1,40,17.01,13980,176,29.62,0.37,5568864,20549,70870,6205
Lance Hooper,15,0,0.0,23.67,17,32,30.27,24,33,0.27,4,4,72.53,,112100,7473,11090,5040
Lane Moore,12,0,0.0,28.5,10,35,28.17,18,36,0.0,0,0,8.83,0.0,0,,,
Larry Berg,2,0,0.0,21.0,14,28,28.0,23,33,0.0,0,0,9.0,0.0,0,,,
Larry Carnes,20,0,0.0,29.95,18,36,25.7,16,35,0.0,0,0,85.9,,76295,3815,6940,2075
Larry Norfleet,1,0,0.0,33.0,33,33,32.0,32,32,0.0,0,0,67.0,,7570,7570,7570,7570
Larry Richardson,20,0,0.0,32.15,22,36,31.3,20,36,0.2,4,4,60.6,,173689,8684,11940,5620
Latitude Aero,2,0,0.0,30.0,27,33,27.0,22,32,0.0,0,0,10.0,0.0,0,,,
Linda Mountanos,25,0,0.0,16.28,1,32,18.36,5,31,0.0,0,0,108.48,,83620,3345,6070,1750
Logan Puckett,8,0,0.0,32.38,26,37,25.25,20,35,0.0,0,0,0.0,0.0,0,,,
Lonnie Troxell,75,0,0.0,29.01,12,36,28.8,15,36,0.0,0,0,72.55,,613784,8184,13865,4494
Lou Gigliotti,2,0,0.0,27.5,27,28,23.0,20,26,0.0,0,0,94.0,,7750,3875,5450,2300
Lou Goss,2,0,0.0,31.0,30,32,24.0,17,31,0.0,0,0,13.0,0.0,0,,,
