Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,32.0,15.0,9.0,William Byron,Liberty University (Kyle Busch),Toyota,59.0,engine,0.0,1.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,1.0,2.0,18.0,Kyle Busch,Toyota (Kyle Busch),Toyota,255.0,running,123.0,0.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,2.0,8.0,8.0,John H. Nemechek,NEMCO Motorsports (Joe Nemechek),Chevrolet,255.0,running,0.0,31.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,3.0,7.0,9.0,William Byron,Liberty University (Kyle Busch),Toyota,255.0,running,0.0,30.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,4.0,5.0,24.0,Kyle Larson,McDonald's (Maury Gallagher),Chevrolet,255.0,running,79.0,0.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,5.0,16.0,17.0,Timothy Peters,Red Horse Racing (Tom DeLoach),Toyota,255.0,running,0.0,28.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,6.0,11.0,23.0,Spencer Gallagher,Alamo Rent-A-Car (Maury Gallagher),Chevrolet,255.0,running,0.0,27.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,7.0,10.0,88.0,Matt Crafton,Ideal Door / Menards (Duke Thorson),Toyota,255.0,running,0.0,26.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,8.0,25.0,92.0,Parker Kligerman,BTS Tire / Solid Rock Carriers / Advance Auto (Ricky Benton),Ford,255.0,running,0.0,25.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,9.0,4.0,13.0,Cameron Hayley,Cabinets by Hayley (Duke Thorson),Toyota,255.0,running,11.0,25.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,10.0,20.0,98.0,Rico Abreu,Safelite Auto Glass / Wolf FM (Mike Curb),Toyota,255.0,running,0.0,23.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,11.0,15.0,11.0,Ben Kennedy,Jacob Companies (Tom DeLoach),Toyota,255.0,running,0.0,22.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,12.0,18.0,81.0,Ryan Truex,Toyota Osaka Parts Distribution (Shigeaki Hattori),Toyota,255.0,running,0.0,21.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,13.0,13.0,2.0,Tyler Young,Randco / Young's Building Systems (Randy Young),Chevrolet,255.0,running,0.0,20.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,14.0,23.0,86.0,Brandon Brown,Coastal Carolina University (Jerry Brown),Chevrolet,255.0,running,0.0,19.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,15.0,24.0,44.0,Austin Wayne Self,AM Technical Solutions (Craig Martins),Toyota,255.0,running,0.0,18.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,16.0,1.0,41.0,Ben Rhodes,Alpha Energy Solutions (Duke Thorson),Toyota,255.0,running,42.0,18.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,17.0,28.0,7.0,Shane Lee,Lee Boy (Bobby Dotter),Toyota,255.0,running,0.0,16.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,18.0,6.0,51.0,Daniel Suarez,Arris (Kyle Busch),Toyota,255.0,running,0.0,0.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,19.0,14.0,4.0,Christopher Bell,JBL.com (Kyle Busch),Toyota,255.0,running,0.0,14.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,20.0,9.0,29.0,Tyler Reddick,Cooper Standard (Brad Keselowski),Ford,255.0,running,0.0,13.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,21.0,21.0,5.0,John Wes Townley,Zaxby's (Tony Townley),Chevrolet,255.0,running,0.0,12.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,22.0,17.0,19.0,Daniel Hemric,California Clean Power (Brad Keselowski),Ford,253.0,running,0.0,11.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,23.0,32.0,1.0,Bryce Napier,Lilly Trucking (Jennifer Jo Cobb),Chevrolet,249.0,running,0.0,10.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,24.0,29.0,49.0,Timmy Hill,Testoril (Jay Robinson),Chevrolet,248.0,running,0.0,9.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,25.0,30.0,74.0,Paige Decker,Best Western (Mike Harmon),RAM,246.0,running,0.0,8.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,26.0,22.0,32.0,Justin Haley,Braun Motorsports (Todd Braun),Toyota,244.0,crash,0.0,7.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,27.0,31.0,10.0,Claire Decker,AmsOil (Jennifer Jo Cobb),Chevrolet,243.0,running,0.0,6.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,28.0,27.0,63.0,Spencer Boyd,Go-Parts.com (Mike Mittler),RAM,237.0,crash,0.0,5.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,29.0,12.0,0.0,Cole Custer,Haas Automation (JR Motorsports),Chevrolet,235.0,crash,0.0,4.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,30.0,26.0,71.0,Mike Bliss,RaceTrac Convenience Stores (Carlos Contreras),Chevrolet,115.0,electrical,0.0,3.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,31.0,19.0,33.0,Kaz Grala,Allegiant Travel (Maury Gallagher),Chevrolet,91.0,crash,0.0,2.0
2016,3,Martinsville,Martinsville Speedway,0.526,paved track,32.0,3.0,21.0,Johnny Sauter,Smokey Mountain Herbal Snuff (Maury Gallagher),Chevrolet,43.0,crash,0.0,1.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,1.0,2.0,9.0,William Byron,Liberty University (Kyle Busch),Toyota,170.0,running,34.0,36.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,2.0,13.0,88.0,Matt Crafton,Ideal Door / Menards (Duke Thorson),Toyota,170.0,running,57.0,33.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,3.0,9.0,19.0,Daniel Hemric,Oakmont Management Group (Brad Keselowski),Ford,170.0,running,0.0,30.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,4.0,5.0,4.0,Christopher Bell,JBL.com (Kyle Busch),Toyota,170.0,running,5.0,30.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,5.0,16.0,24.0,Clint Bowyer,Georgia Boot (Maury Gallagher),Chevrolet,170.0,running,0.0,0.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,6.0,21.0,81.0,Ryan Truex,Aquastar Seafood (Shigeaki Hattori),Toyota,170.0,running,0.0,27.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,7.0,4.0,0.0,Cole Custer,Haas Automation (JR Motorsports),Chevrolet,170.0,running,0.0,26.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,8.0,8.0,17.0,Timothy Peters,Red Horse Racing (Tom DeLoach),Toyota,170.0,running,1.0,26.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,9.0,11.0,33.0,Ben Kennedy,Weber Grill (Maury Gallagher),Chevrolet,170.0,running,0.0,24.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,10.0,32.0,23.0,Spencer Gallagher,Alamo Rent-A-Car (Maury Gallagher),Chevrolet,170.0,running,0.0,23.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,11.0,20.0,2.0,Tyler Young,Interlock Tech Solutions / Randco (Randy Young),Chevrolet,170.0,running,0.0,22.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,12.0,22.0,86.0,Brandon Brown,Southern National Motorsports Park (Jerry Brown),Chevrolet,170.0,running,0.0,21.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,13.0,3.0,29.0,Tyler Reddick,Cooper Standard (Brad Keselowski),Ford,170.0,running,56.0,21.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,14.0,7.0,11.0,Matt Tifft,Red Horse Racing (Tom DeLoach),Toyota,170.0,running,0.0,19.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,15.0,25.0,7.0,B.J. McLeod,SS-Green Light Racing (Bobby Dotter),Chevrolet,170.0,running,0.0,0.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,16.0,12.0,21.0,Johnny Sauter,Allegiant Travel (Maury Gallagher),Chevrolet,170.0,running,9.0,18.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,17.0,17.0,71.0,Mike Bliss,American Club (Carlos Contreras),Chevrolet,170.0,running,0.0,16.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,18.0,10.0,41.0,Ben Rhodes,Operation BBQ Relief (Duke Thorson),Toyota,169.0,running,5.0,16.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,19.0,15.0,13.0,Cameron Hayley,Cabinets by Hayley (Duke Thorson),Toyota,169.0,running,2.0,15.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,20.0,24.0,50.0,Travis Kvapil,GasBuddy (Mark Beaver),Chevrolet,169.0,running,0.0,13.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,21.0,27.0,49.0,Timmy Hill,Premium Motorsports (Jay Robinson),Chevrolet,168.0,running,0.0,12.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,22.0,31.0,98.0,Rico Abreu,Safelite Auto Glass / Wolf FM (Mike Curb),Toyota,167.0,running,0.0,11.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,23.0,26.0,63.0,Bobby Pierce,Vatterott College (Mike Mittler),Chevrolet,167.0,running,0.0,10.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,24.0,28.0,10.0,Jennifer Jo Cobb,Mark One Electric/Grimes Irrigation & Const. (Jennifer Jo Cobb),Chevrolet,164.0,running,0.0,9.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,25.0,29.0,22.0,Austin Wayne Self,AM Technical Solutions (Tim Self),Toyota,161.0,running,0.0,8.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,26.0,1.0,5.0,John Wes Townley,JIVE Communications (Tony Townley),Chevrolet,149.0,running,1.0,8.0
2016,4,Kansas,Kansas Speedway,1.5,paved track,27.0,14.0,51.0,Cody Coughlin,JEGS (Kyle Busch),Toyota,145.0,running,0.0,6.0
