owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Bill Ondocsin,10,0,0.0,18.0,2,27,21.0,12,27,0.3,3,3,100.0,,9390,939,1365,600
Bill Papke,216,0,0.0,19.39,1,42,18.13,2,43,1.65,356,67,109.99,,1548099,7167,31400,2005
Bill Riley,5,0,0.0,23.4,4,43,25.6,11,33,0.0,0,0,86.2,,86155,17231,18805,15075
Bill Simpson,7,0,0.0,29.71,21,39,26.29,18,34,0.0,0,0,84.14,,9471,1353,2675,315
Bill Sprinkle,1,0,0.0,33.0,33,33,19.0,19,19,0.0,0,0,106.0,,1100,1100,1100,1100
Bill Weeb,1,0,0.0,32.0,32,32,28.0,28,28,0.0,0,0,79.0,,1110,1110,1110,1110
Billy Boat,17,0,0.0,23.59,3,40,28.59,22,37,0.12,2,2,13.35,,370838,21814,51856,10570
Billy Gerhart,13,0,0.0,30.85,18,43,30.15,22,40,0.0,0,0,36.62,,184674,18467,54426,8640
Billy Hagan,7,0,0.0,20.14,3,34,23.14,11,39,5.71,40,34,82.71,,19711,2816,11900,310
Billy Hicks,4,0,0.0,26.5,23,30,20.5,16,30,0.0,0,0,101.5,,2500,625,940,250
Billy Jones,178,4,0.02247,20.29,1,43,20.7,1,42,4.89,871,146,102.26,,2510289,14103,94450,2045
Billy Standridge,86,0,0.0,23.84,9,44,20.59,6,39,0.03,3,3,101.41,,140392,1632,10600,205
Billygoat Landscape,1,0,0.0,30.0,30,30,39.0,39,39,0.0,0,0,0.0,,1200,1200,1200,1200
Bishop Body Shop,5,0,0.0,29.2,22,42,24.2,12,32,0.0,0,0,90.4,,4858,972,1220,650
Blaise Alexander,2,0,0.0,25.0,15,35,29.0,24,34,0.0,0,0,76.0,,14660,7330,8145,6515
Bob Banning,37,0,0.0,17.29,7,37,15.7,3,27,2.92,108,108,109.92,,29312,792,3275,170
Bob Bender,3,0,0.0,13.0,5,23,39.67,37,41,0.0,0,0,44.0,,7295,2432,2985,1775
Bob Brevak,3,0,0.0,28.33,14,39,25.0,13,31,0.0,0,0,88.0,,8300,2767,4075,825
Bob Campbell,39,1,0.02564,16.9,2,40,10.31,1,43,2.69,105,50,137.72,,1034826,26534,53100,13150
Bob Dotter,15,0,0.0,15.67,1,29,19.0,6,29,0.0,0,0,106.67,,15005,1000,2200,350
Bob Jenkins,75,0,0.0,33.99,18,42,25.93,4,43,0.04,3,1,85.11,,1952124,26028,50623,11790
Bob Kelley,9,0,0.0,27.56,21,34,27.44,19,37,0.0,0,0,36.67,,152436,16937,25625,11275
Bob Keselowski,52,0,0.0,31.21,10,43,37.58,11,43,0.1,5,4,49.75,,930269,17890,57903,11667
Bob Labonte,195,7,0.0359,12.58,1,43,13.85,1,43,9.32,1818,234,124.0,,1220677,6260,26850,220
Bob Newberry,4,0,0.0,20.75,12,25,25.75,19,37,0.0,0,0,1.75,,81269,20317,23370,17555
Bob Ramseur,2,0,0.0,29.0,28,30,28.5,28,29,0.0,0,0,77.5,,1085,543,560,525
Bob Schacht,6,0,0.0,19.67,5,42,25.83,15,42,0.0,0,0,85.5,,129065,21511,49085,750
Bob Shreeves,70,0,0.0,16.0,4,41,15.63,4,32,0.24,17,11,116.04,,44145,631,4080,200
Bob Sutton,139,1,0.00719,18.9,1,43,18.02,1,43,1.78,248,51,110.39,,1222642,8796,35250,1380
Bob Whitcomb,27,0,0.0,21.52,3,42,22.52,6,39,0.11,3,3,87.41,,73000,2704,5920,325
Bobby Allison,34,1,0.02941,15.97,4,43,18.62,1,40,1.06,36,10,106.18,,118775,3493,30550,275
Bobby Benton,1,0,0.0,14.0,14,14,19.0,19,19,0.0,0,0,106.0,,18710,18710,18710,18710
Bobby Cash Auto Parts,1,0,0.0,,,,30.0,30,30,0.0,0,0,73.0,,625,625,625,625
Bobby Dotter,470,1,0.00213,26.16,1,41,24.31,1,40,0.24,115,80,17.95,0.0,678029,12328,30192,2210
Bobby Ginn,17,0,0.0,15.71,1,37,19.65,5,36,4.35,74,45,107.06,,514186,30246,48745,19600
"Bobby Hillin, Jr.",1,0,0.0,43.0,43,43,40.0,40,40,0.0,0,0,43.0,,3113,3113,3113,3113
Bobby Jones,28,0,0.0,29.68,5,43,31.32,12,43,0.36,10,10,63.61,,102790,3807,7525,1375
