driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Anthony Lazzaro,1,0,0.0,0,0.0,0,0.0,0,0.0,18.0,18,18,22.0,22,22,0.0,0,0,8820,8820,8820,8820
Aric Almirola,78,2,0.02564,19,0.24359,38,0.48718,55,0.70513,13.62,2,34,14.1,1,36,2.17,169,52,1229486,15763,59100,6750
Armani Williams,7,0,0.0,0,0.0,0,0.0,0,0.0,33.0,29,36,31.0,21,35,0.0,0,0,0,,,
Auggie Vidovich,4,0,0.0,0,0.0,0,0.0,1,0.25,21.75,3,32,24.0,19,30,0.0,0,0,26625,6656,9740,4995
Augie Grill,1,0,0.0,0,0.0,0,0.0,0,0.0,20.0,20,20,27.0,27,27,0.0,0,0,7150,7150,7150,7150
Austin Cameron,3,0,0.0,0,0.0,0,0.0,1,0.33333,27.67,26,29,24.0,15,34,0.0,0,0,25645,8548,12165,6490
Austin Cindric,29,1,0.03448,8,0.27586,16,0.55172,23,0.7931,10.66,1,27,12.07,1,27,3.66,106,36,28419,14210,15567,12852
Austin Dillon,73,7,0.09589,24,0.32877,48,0.65753,65,0.89041,7.03,1,23,9.9,1,35,14.62,1067,187,1177065,17568,51387,7320
Austin Hill,122,8,0.06557,27,0.22131,54,0.44262,91,0.7459,11.79,1,31,13.89,1,35,5.43,662,65,76452,12742,16317,7200
Austin Theriault,13,0,0.0,2,0.15385,5,0.38462,10,0.76923,14.23,4,27,14.31,4,31,3.77,49,31,167923,18658,32221,10185
Austin Wayne Self,147,0,0.0,2,0.01361,15,0.10204,95,0.64626,20.49,7,32,18.95,2,38,0.01,1,1,0,,,
B.A. Wilson,39,0,0.0,0,0.0,2,0.05128,18,0.46154,21.23,5,39,22.54,9,34,0.54,21,14,310515,7962,13490,4625
B.J. McLeod,41,0,0.0,0,0.0,0,0.0,5,0.12195,26.88,20,39,26.66,15,35,0.0,0,0,302353,10078,15206,7065
Barry Bodine,29,0,0.0,0,0.0,0,0.0,12,0.41379,21.55,3,37,23.14,11,36,0.0,0,0,201605,6952,12790,1450
Bayley Currey,44,0,0.0,3,0.06818,6,0.13636,19,0.43182,23.14,2,40,21.09,4,37,0.05,2,1,0,,,
Ben Kennedy,73,1,0.0137,10,0.13699,26,0.35616,61,0.83562,11.86,1,31,13.23,1,30,1.63,119,52,741822,14836,35572,8795
Ben Rhodes,187,7,0.03743,56,0.29947,103,0.5508,161,0.86096,9.32,1,27,11.4,1,34,6.51,1218,134,47665,11916,13275,11160
Ben Stancill,5,0,0.0,0,0.0,0,0.0,2,0.4,29.6,26,33,26.2,19,35,0.0,0,0,47305,9461,11130,7830
Benjamin Reynolds,1,0,0.0,0,0.0,0,0.0,0,0.0,35.0,35,35,26.0,26,26,0.0,0,0,7200,7200,7200,7200
Benny Gordon,2,0,0.0,0,0.0,0,0.0,1,0.5,20.5,20,21,23.0,15,31,0.0,0,0,19185,9593,11700,7485
Bill Cooper,1,0,0.0,0,0.0,0,0.0,0,0.0,17.0,17,17,25.0,25,25,0.0,0,0,1600,1600,1600,1600
Bill Elliott,2,0,0.0,1,0.5,1,0.5,1,0.5,16.0,13,19,16.5,2,31,0.0,0,0,72975,36488,61750,11225
Bill Kimmel,2,0,0.0,0,0.0,0,0.0,0,0.0,20.0,17,23,29.5,29,30,0.0,0,0,10530,5265,5330,5200
Bill Lester,143,0,0.0,2,0.01399,7,0.04895,76,0.53147,14.92,1,35,20.81,5,36,0.64,92,19,1466157,10325,17925,5215
Bill Manfull,2,0,0.0,0,0.0,0,0.0,0,0.0,32.0,29,35,35.0,34,36,0.0,0,0,11662,5831,6590,5072
Bill Sedgwick,53,0,0.0,9,0.16981,21,0.39623,32,0.60377,15.72,1,36,16.42,2,34,1.85,98,59,289505,5462,22275,1900
Bill Venturini,2,0,0.0,0,0.0,0,0.0,0,0.0,32.0,30,34,32.5,31,34,0.0,0,0,5475,2738,3825,1650
"Billy Bigley, Jr.",24,0,0.0,1,0.04167,8,0.33333,15,0.625,16.17,5,30,16.96,5,32,0.08,2,2,237630,9901,16275,5640
Billy Kann,3,0,0.0,0,0.0,0,0.0,0,0.0,34.33,33,36,28.67,25,32,0.0,0,0,24365,8122,8490,7450
"Billy Ogle, Jr.",1,0,0.0,0,0.0,0,0.0,1,1.0,29.0,29,29,19.0,19,19,0.0,0,0,4100,4100,4100,4100
Billy Pauch,4,0,0.0,0,0.0,1,0.25,2,0.5,24.25,14,30,18.0,6,25,0.0,0,0,23250,5813,7200,4900
Blaine Perkins,22,0,0.0,0,0.0,0,0.0,1,0.04545,26.45,19,32,27.77,18,35,0.0,0,0,0,,,
Blaise Alexander,2,0,0.0,0,0.0,1,0.5,2,1.0,20.5,17,24,11.5,9,14,0.0,0,0,12425,6213,7075,5350
Blake Bainbridge,3,0,0.0,0,0.0,0,0.0,0,0.0,19.67,8,26,32.33,30,34,0.0,0,0,22815,7605,12175,4970
Blake Bjorklund,15,0,0.0,0,0.0,0,0.0,6,0.4,28.0,15,35,24.33,13,34,0.07,1,1,160460,10697,14650,7100
Blake Feese,12,0,0.0,1,0.08333,1,0.08333,8,0.66667,23.33,3,35,17.83,4,32,0.0,0,0,138685,11557,19040,6400
Blake Koch,10,0,0.0,0,0.0,0,0.0,1,0.1,30.6,24,35,32.6,19,36,0.0,0,0,81377,8138,10825,7054
Blake Lothian,2,0,0.0,0,0.0,0,0.0,0,0.0,31.0,30,32,31.5,28,35,0.0,0,0,0,,,
Blake Mallory,8,0,0.0,0,0.0,0,0.0,0,0.0,30.13,21,36,27.38,21,35,0.0,0,0,64650,8081,10150,5765
Bo LeMastus,12,0,0.0,0,0.0,0,0.0,6,0.5,16.42,12,22,23.08,15,32,0.08,1,1,0,,,
Bob Brevak,36,0,0.0,0,0.0,0,0.0,17,0.47222,28.08,16,39,21.08,11,35,0.0,0,0,163136,4532,11300,2000
Bob Jones,1,0,0.0,0,0.0,0,0.0,0,0.0,29.0,29,29,27.0,27,27,0.0,0,0,1950,1950,1950,1950
Bob Keselowski,86,1,0.01163,2,0.02326,15,0.17442,49,0.56977,18.51,3,36,19.22,1,36,1.34,115,82,554263,6445,34175,1800
Bob Schacht,2,0,0.0,0,0.0,0,0.0,0,0.0,34.5,29,40,28.0,24,32,0.0,0,0,9175,4588,5350,3825
Bob Strait,20,0,0.0,0,0.0,5,0.25,11,0.55,20.95,9,35,17.0,7,32,0.0,0,0,61825,3091,5750,1750
Bob Walker,2,0,0.0,0,0.0,0,0.0,1,0.5,23.5,20,27,21.0,18,24,0.0,0,0,4325,2163,2625,1700
Bobby Coffey,2,0,0.0,0,0.0,0,0.0,0,0.0,33.0,32,34,33.0,32,34,0.0,0,0,14695,7348,7840,6855
Bobby Dotter,73,0,0.0,1,0.0137,5,0.06849,42,0.57534,23.3,8,35,20.42,4,36,0.04,3,1,669865,9176,16400,3850
Bobby East,31,0,0.0,0,0.0,2,0.06452,12,0.3871,13.58,1,34,21.87,8,36,0.13,4,4,323388,10432,15710,6058
Bobby Gerhart,10,0,0.0,0,0.0,0,0.0,6,0.6,23.9,17,29,17.5,11,27,0.0,0,0,30378,7595,18428,3550
Bobby Gill,16,0,0.0,0,0.0,4,0.25,11,0.6875,16.81,7,27,16.44,6,34,0.75,12,12,97355,6085,8675,3750
