owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
A.J. Foyt,1997,2,0,0,0,1,0.0,2,0.0,16.0,26.5,0.0,0
Andy Campbell,1997,1,0,0,0,0,0.0,1,0.0,23.0,30.0,0.0,0
Arne Henriksen,1997,2,0,0,0,0,0.0,2,0.0,35.5,23.5,0.0,0
B.A. Wilson,1997,2,0,0,0,1,0.0,2,0.0,17.0,22.5,0.0,0
Bill Elliott,1997,2,0,0,1,1,0.0,2,0.0,19.0,19.5,0.0,0
Billy Ballew,1997,6,0,0,0,2,0.0,6,0.0,28.67,23.0,0.0,0
Billy Hess,1997,5,1,1,1,2,0.2,5,0.2,9.2,18.4,4.2,21
Blaise Alexander,1997,2,0,0,1,2,0.0,2,0.0,20.5,11.5,0.0,0
Bob Blake,1997,14,0,0,0,8,0.0,14,0.0,29.29,22.07,0.0,0
Bob Brevak,1997,26,0,0,2,15,0.0,30,0.0,25.07,22.37,0.0,0
Bobby Hamilton Racing,1997,2,0,1,2,2,0.0,2,0.0,15.0,5.5,0.0,0
Carl Wegner,1997,7,0,0,0,2,0.0,7,0.0,27.86,24.14,0.0,0
Charles Hardy,1997,26,0,1,7,17,0.0,26,0.0,20.04,17.46,0.0,0
Clarence Brewer,1997,7,0,0,2,5,0.0,8,0.0,12.0,17.38,0.0,0
"Dale Earnhardt, Inc.",1997,26,7,13,17,18,0.26923,27,0.25926,7.74,11.78,44.93,1213
Dale Phelon,1997,26,0,0,2,10,0.0,26,0.0,15.81,23.19,0.04,1
Dana Dorman,1997,5,0,2,2,2,0.0,5,0.0,14.6,21.4,8.0,40
Darrell Waltrip,1997,26,3,15,17,23,0.11538,26,0.11538,7.5,8.73,24.23,630
Dave Goulet,1997,1,0,0,0,0,0.0,1,0.0,27.0,22.0,0.0,0
David Dollar,1997,2,0,0,1,1,0.0,2,0.0,29.0,16.5,0.0,0
David Hodson,1997,26,0,3,8,19,0.0,26,0.0,18.04,15.69,0.0,0
DeWilton Genzman,1997,2,0,0,0,0,0.0,2,0.0,23.5,28.0,0.0,0
Dick Greenfield,1997,3,0,0,0,1,0.0,3,0.0,27.67,22.0,0.0,0
Doc MacDonald,1997,3,0,0,0,0,0.0,3,0.0,23.0,29.33,0.0,0
"Don Ling, Sr.",1997,3,0,0,0,0,0.0,3,0.0,28.33,31.33,0.0,0
Duke Thorson,1997,15,0,0,0,5,0.0,15,0.0,22.13,23.53,0.0,0
Ed Scherer,1997,11,0,0,0,0,0.0,11,0.0,21.73,28.64,0.0,0
Eugene Hieber,1997,1,0,0,0,0,0.0,1,0.0,36.0,22.0,0.0,0
Gary Higgs,1997,1,0,0,0,0,0.0,1,0.0,15.0,27.0,0.0,0
Gene Marquardt,1997,1,0,0,0,1,0.0,1,0.0,24.0,16.0,0.0,0
Geoffrey Bodine,1997,23,0,0,1,19,0.0,26,0.0,17.12,18.27,0.08,2
