owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Sonny Easley,2,0,0.0,0,1,1,2,0.0,21.5,16.5,0,0.0
Sonny Morgan,1,0,0.0,0,0,0,1,0.0,31.0,39.0,0,0.0
Speedy Spiers,2,0,0.0,0,0,2,2,0.0,6.0,18.5,0,0.0
Speedy Thompson,58,6,0.10345,28,38,50,58,0.10345,6.42,10.31,878,15.14
Spencer Brown,1,0,0.0,0,0,0,1,0.0,39.0,28.0,0,0.0
Spire Motorsports,202,1,0.00495,7,14,87,354,0.00282,28.68,26.23,175,0.49
Spook Crawford,152,0,0.0,11,43,130,168,0.0,17.43,16.26,0,0.0
Squirt Johns,2,0,0.0,0,0,2,2,0.0,7.0,17.5,42,21.0
Stacy Compton,7,0,0.0,0,0,0,7,0.0,37.71,40.86,0,0.0
Stan Hover,16,0,0.0,0,0,2,16,0.0,39.56,35.75,0,0.0
Stan Lasky,3,0,0.0,0,0,0,3,0.0,27.67,27.33,0,0.0
Stan Noble,6,0,0.0,0,0,2,6,0.0,22.67,24.5,0,0.0
Stan Parnell,1,0,0.0,0,0,0,1,0.0,58.0,47.0,0,0.0
Stan Starr,1,0,0.0,0,0,0,1,0.0,17.0,22.0,0,0.0
Stanley Moore,3,0,0.0,0,0,1,3,0.0,19.0,46.0,0,0.0
Stanley Smith,27,0,0.0,0,0,0,27,0.0,29.48,31.0,12,0.44
Stanton Barrett,10,0,0.0,0,0,0,10,0.0,37.1,40.0,0,0.0
StarCom Racing,146,0,0.0,0,0,7,164,0.0,33.04,31.03,1,0.01
Stavola Brothers,409,4,0.00978,36,114,286,524,0.00763,20.58,19.75,1523,2.91
Stavola Labonte Racing,2,0,0.0,0,0,0,2,0.0,30.5,26.0,0,0.0
Stephens Motors,1,0,0.0,0,0,1,1,0.0,,14.0,0,0.0
Sterling Long,3,0,0.0,0,1,1,3,0.0,,20.33,0,0.0
Steve Balogh,11,0,0.0,0,0,1,11,0.0,33.91,30.18,0,0.0
Steve Gray,1,0,0.0,0,0,0,1,0.0,38.0,30.0,0,0.0
Steve Harrison,1,0,0.0,0,0,0,1,0.0,21.0,24.0,0,0.0
Steve Moore,4,0,0.0,0,0,1,4,0.0,37.5,24.5,0,0.0
Steve Peles,8,0,0.0,0,0,3,8,0.0,33.38,22.75,0,0.0
Steve Pfeifer,2,0,0.0,0,0,0,2,0.0,34.5,22.5,0,0.0
Steve Pierce,16,0,0.0,3,5,13,16,0.0,13.93,15.06,232,14.5
Steve Temme,1,0,0.0,0,0,0,1,0.0,40.0,31.0,0,0.0
Steve Turner,1,0,0.0,0,0,0,1,0.0,6.0,37.0,0,0.0
Stewart Haas Racing,562,69,0.12278,342,701,1285,1924,0.03586,15.51,16.26,19862,10.32
Stewart Joyce,1,0,0.0,0,1,1,2,0.0,29.0,22.5,0,0.0
Stewart McKinney,12,0,0.0,1,5,10,12,0.0,12.33,13.5,0,0.0
Stoney Johnson,1,0,0.0,0,0,1,1,0.0,23.0,14.0,0,0.0
Sumner McKnight,6,0,0.0,0,0,4,6,0.0,32.0,20.5,0,0.0
Sun Systems,1,0,0.0,0,0,0,1,0.0,21.0,35.0,0,0.0
T & O Racing,1,0,0.0,0,0,0,1,0.0,39.0,31.0,0,0.0
T. Weldin,1,0,0.0,0,0,0,1,0.0,24.0,39.0,0,0.0
T.A. Toomes,1,0,0.0,0,0,1,1,0.0,38.0,17.0,0,0.0
