driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Buck Simmons,8,0,0.0,0,0.0,0,0.0,2,0.25,17.88,9,26,25.5,14,40,0.0,0,0,9390,1174,2180,500
Buck Smith,5,0,0.0,0,0.0,1,0.2,5,1.0,,,,16.0,9,19,0.0,0,0,175,35,75,25
Buckshot Jones,56,0,0.0,0,0.0,1,0.01786,8,0.14286,28.36,7,43,31.36,8,43,0.38,21,19,2650270,47326,126234,16355
Buckshot Morris,2,0,0.0,0,0.0,0,0.0,0,0.0,10.0,10,10,28.0,21,35,0.0,0,0,0,,,
Bucky Sager,16,0,0.0,2,0.125,4,0.25,9,0.5625,15.81,2,44,19.0,2,53,9.13,146,146,1535,118,750,25
Bud Bennett,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,14.0,14,14,0.0,0,0,25,25,25,25
Bud Boone,1,0,0.0,0,0.0,1,1.0,1,1.0,,,,9.0,9,9,0.0,0,0,100,100,100,100
Bud Burdick,2,0,0.0,0,0.0,1,0.5,2,1.0,12.0,6,18,10.0,9,11,0.0,0,0,750,375,600,150
Bud Chaddock,2,0,0.0,0,0.0,0,0.0,0,0.0,42.0,42,42,33.0,28,38,0.0,0,0,85,43,50,35
Bud Crothers,3,0,0.0,0,0.0,1,0.33333,1,0.33333,20.33,5,32,19.33,10,27,0.0,0,0,475,158,225,100
Bud Diamond,2,0,0.0,0,0.0,0,0.0,1,0.5,14.5,13,16,24.0,16,32,0.0,0,0,25,25,25,25
Bud Erb,3,0,0.0,0,0.0,0,0.0,2,0.66667,11.0,11,11,18.33,13,24,0.0,0,0,75,25,25,25
Bud Erma,5,0,0.0,0,0.0,3,0.6,5,1.0,13.0,10,18,10.4,6,17,0.0,0,0,680,136,210,50
Bud Farrell,11,0,0.0,1,0.09091,4,0.36364,8,0.72727,21.13,11,44,14.18,4,26,0.0,0,0,1025,93,350,25
Bud Gardner,1,0,0.0,0,0.0,0,0.0,1,1.0,23.0,23,23,13.0,13,13,0.0,0,0,100,100,100,100
Bud Geiselman,3,0,0.0,0,0.0,0,0.0,2,0.66667,24.33,22,26,23.33,19,31,0.0,0,0,100,50,50,50
Bud Harless,28,0,0.0,0,0.0,2,0.07143,16,0.57143,23.21,8,47,21.82,8,43,0.0,0,0,6255,250,650,25
Bud Hickey,1,0,0.0,0,0.0,0,0.0,0,0.0,40.0,40,40,38.0,38,38,0.0,0,0,950,950,950,950
