Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,42.0,26.0,349,Charlie Cregar,Stew Engler's Calso / Rader-Leauber Motor Co. (James Gess),'54 Oldsmobile,10.0,,transmission,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,43.0,23.0,56,Tommy Ringstaff,J.B. Cunningham,'55 Packard,7.0,,valve,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,44.0,45.0,65,Bill Blair,Ken Whitney,'55 Ford,6.0,,transmission,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,45.0,13.0,51,Gober Sosebee,Gober Sosebee,'55 Oldsmobile,4.0,,piston,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,46.0,38.0,48,Louis Headley,Louis Headley,'55 Chevrolet,3.0,,ignition,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,47.0,19.0,4,Ken Fisher,Hamburg Delivery (Ken Fisher),'55 Chrysler,2.0,,carburetor,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,48.0,4.0,M-1,Fireball Roberts,Fish Carburetor (Bob Fish),'55 Buick,39.0,,disqualified,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,1.0,6.0,42.0,Lee Petty,Petty Enterprises,'54 Chrysler,200.0,1000.0,running,136.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,2.0,4.0,1.0,Don White,Don White,'55 Oldsmobile,196.0,650.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,3.0,1.0,3.0,Dick Rathmann,Blue Crown (John Ditz),'54 Hudson,194.0,450.0,running,64.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,4.0,8.0,92.0,Herb Thomas,Herb Thomas,'54 Hudson,192.0,350.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,5.0,11.0,28.0,Eddie Skinner,Frank Dodge,'53 Oldsmobile,185.0,300.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,6.0,14.0,9.0,Dave Terrell,Dave Terrell,'55 Plymouth,182.0,250.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,7.0,12.0,140.0,Mack Hanbury,Caplan Motors (Mack Hanbury),'53 Hudson,182.0,200.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,8.0,16.0,78.0,Jim Paschal,Ernest Woods,'55 Oldsmobile,182.0,150.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,9.0,15.0,88.0,Joel Million,Ernest Woods,'55 Oldsmobile,181.0,100.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,10.0,17.0,75.0,Ed Paskovich,Ed Paskovich,'54 Dodge,170.0,100.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,11.0,2.0,99.0,Curtis Turner,Parks Cigarette (Raymond Parks),'55 Oldsmobile,167.0,25.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,12.0,18.0,13.0,Bob Dawson,–,'55 Dodge,153.0,25.0,running,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,13.0,9.0,23.0,Jack Choquette,George Miller,'54 Hudson,120.0,25.0,fuel pump,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,14.0,5.0,55.0,Junior Johnson,B & L Motors (Jim Lowe / Carl Beckham),'55 Oldsmobile,95.0,25.0,piston,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,15.0,3.0,59.0,Blackie Pitt,Brownie Pitt,'54 Oldsmobile,72.0,25.0,bearing,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,16.0,7.0,87.0,Buck Baker,Griffin Motors (Bob Griffin),'54 Oldsmobile,46.0,25.0,v joint,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,17.0,10.0,15.0,Jimmie Lewallen,Joe Blair,'54 Mercury,20.0,25.0,gas line,0.0
1955,5,Savannah,Oglethorpe Speedway,0.5,dirt track,18.0,13.0,51.0,Gober Sosebee,Gober Sosebee,'55 Oldsmobile,8.0,25.0,piston,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,1.0,–,14,Fonty Flock,Mercury Outboards (Frank Christian),'55 Chevrolet,200,1000.0,running,66.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,2.0,–,1,Don White,Don White,'55 Oldsmobile,–,650.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,3.0,–,3,Dick Rathmann,Blue Crown (John Ditz),'54 Hudson,–,450.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,4.0,–,87,Buck Baker,Griffin Motors (Bob Griffin),'54 Oldsmobile,–,350.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,5.0,1,300,Tim Flock,Mercury Outboards (Carl Kiekhaefer),'55 Chrysler,–,300.0,running,134.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,6.0,–,42,Lee Petty,Petty Enterprises,'54 Chrysler,–,250.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,7.0,–,55,Junior Johnson,B & L Motors (Jim Lowe / Carl Beckham),'55 Oldsmobile,–,200.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,8.0,–,78,Jim Paschal,Helzafire (Ernest Woods),'55 Oldsmobile,–,150.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,9.0,–,6,Ralph Liguori,Ralph Liguori,'54 Dodge,–,100.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,10.0,–,92,Herb Thomas,Motoramic (Herb Thomas),'55 Chevrolet,–,100.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,11.0,20,59,Blackie Pitt,Brownie Pitt,'54 Oldsmobile,–,25.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,12.0,12,B-29,Dink Widenhouse,Dink Widenhouse,'53 Oldsmobile,–,25.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,13.0,13,82,Joe Eubanks,Oates Motor Co. (Phil Oates),'53 Hudson,–,25.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,14.0,19,28,Eddie Skinner,Frank Dodge,'53 Oldsmobile,–,25.0,running,0.0
1955,6,Columbia,Columbia Speedway,0.5,dirt track,15.0,18,460,Gene Simpson,Brooks Brothers,'55 Plymouth,–,25.0,running,0.0
