owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Bryan Smith,15,0,0.0,0,1,12,15,0.0,23.13,19.07,0,0.0
Bryant Racing,1,0,0.0,0,0,1,1,0.0,40.0,16.0,0,0.0
Bryant Stith,31,0,0.0,0,0,4,31,0.0,29.61,27.68,1,0.03
Bubba Nissen,1,0,0.0,0,0,1,1,0.0,23.0,17.0,0,0.0
Buck Holder,4,0,0.0,0,0,2,4,0.0,22.5,25.0,0,0.0
Buddy Baker,1,0,0.0,0,0,0,1,0.0,22.0,40.0,0,0.0
Buddy Baker / Danny Schiff,9,0,0.0,2,4,4,9,0.0,15.44,20.56,8,0.89
Budweiser,2,0,0.0,0,1,1,2,0.0,21.5,17.5,0,0.0
Bull Frog Knits,2,0,0.0,0,0,1,2,0.0,21.0,20.5,0,0.0
Bullets Restaurant,1,0,0.0,0,0,1,1,0.0,32.0,20.0,0,0.0
Bumpass Motors,1,0,0.0,0,0,0,1,0.0,18.0,23.0,0,0.0
Bunton Chevrolet,1,0,0.0,0,0,0,1,0.0,30.0,32.0,0,0.0
Burch Fencing,1,0,0.0,0,0,1,1,0.0,22.0,15.0,0,0.0
Burger King,1,0,0.0,0,0,0,1,0.0,29.0,27.0,0,0.0
Burks Hauling,1,0,0.0,0,0,0,1,0.0,9.0,33.0,0,0.0
Butch Jarvis,9,0,0.0,0,0,0,9,0.0,38.67,37.78,0,0.0
Butch Leitzinger,2,0,0.0,0,0,1,2,0.0,18.0,21.0,0,0.0
Butch Mock,8,2,0.25,6,7,7,8,0.25,7.5,6.75,290,36.25
Butner Racing,3,0,0.0,0,0,3,3,0.0,24.33,15.0,0,0.0
Buttke Dairy Farms,3,0,0.0,0,0,2,3,0.0,20.33,19.67,0,0.0
Buz McCall,48,2,0.04167,16,23,33,48,0.04167,13.69,15.15,547,11.4
Byrd's Food Stores,1,0,0.0,0,0,0,1,0.0,28.0,33.0,0,0.0
C & H Motorsports,1,0,0.0,0,0,0,1,0.0,4.0,29.0,0,0.0
C.B. Gwyn,57,0,0.0,9,29,45,57,0.0,11.3,12.96,58,1.02
C.E. Clower,4,0,0.0,0,0,0,4,0.0,38.25,33.5,2,0.5
C.J. Enterprises,5,0,0.0,0,0,4,5,0.0,21.8,16.2,0,0.0
CMT,1,0,0.0,0,0,0,1,0.0,8.0,29.0,2,2.0
Cal Wells,13,0,0.0,0,1,3,13,0.0,24.08,28.77,0,0.0
Campbell / DeSouza Racing,32,2,0.0625,5,12,16,32,0.0625,13.59,18.78,503,15.72
Capel Rugs,10,0,0.0,0,1,7,10,0.0,27.6,19.4,0,0.0
Carl Haas,36,0,0.0,1,2,4,36,0.0,33.14,28.14,0,0.0
Carl Harris,4,0,0.0,0,0,1,4,0.0,31.25,22.0,0,0.0
Carl Long,245,0,0.0,2,6,66,506,0.0,31.39,29.92,18,0.04
Carl Merrill,1,0,0.0,0,0,1,1,0.0,41.0,15.0,0,0.0
Carl Natale,25,0,0.0,0,0,5,25,0.0,31.84,24.96,2,0.08
Carl Wegner,14,1,0.07143,2,3,5,14,0.07143,22.64,23.0,10,0.71
Carol Levin,87,0,0.0,4,17,58,87,0.0,22.29,18.21,3,0.03
Carolyn Laugeni,2,0,0.0,0,0,0,2,0.0,32.0,36.0,0,0.0
Carrier / Building Unlimited / AEU,1,0,0.0,0,0,1,1,0.0,19.0,14.0,0,0.0
Carter-Mays,1,0,0.0,0,0,0,1,0.0,36.0,29.0,0,0.0
Carter-Mays-Mycarela,1,0,0.0,0,0,0,1,0.0,22.0,26.0,0,0.0
Cary Agajanian,3,0,0.0,0,0,0,3,0.0,21.33,39.33,0,0.0
Caspro,2,0,0.0,0,0,1,2,0.0,37.5,24.5,0,0.0
