driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Bobby Santos III,6,0,0.0,0,0.0,0,0.0,1,0.16667,17.33,4,33,31.5,17,39,0.0,0,0,122135,20356,43310,13950
Boris Said,30,1,0.03333,7,0.23333,9,0.3,15,0.5,12.53,1,40,19.57,1,40,1.2,36,27,906016,32358,101213,3550
Bosco Lowe,133,0,0.0,12,0.09023,36,0.27068,87,0.65414,21.61,4,42,17.16,2,42,0.55,73,52,158283,1190,8200,150
Boston Reid,10,0,0.0,0,0.0,0,0.0,1,0.1,30.0,17,40,30.2,17,42,0.1,1,1,172415,17242,30260,11865
Boyce Eckard,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,13.0,13,13,0.0,0,0,350,350,350,350
Brad Baker,52,0,0.0,0,0.0,0,0.0,7,0.13462,32.1,12,43,30.21,13,43,0.0,0,0,852266,16390,43825,7625
Brad Coleman,57,0,0.0,4,0.07018,12,0.21053,26,0.45614,14.0,1,39,20.81,2,42,1.7,97,36,1567931,27508,66900,14710
Brad Keselowski,257,39,0.15175,129,0.50195,174,0.67704,209,0.81323,11.54,1,43,10.55,1,43,21.02,5402,189,7819096,34752,154743,10965
Brad Leighton,5,0,0.0,0,0.0,0,0.0,0,0.0,30.6,23,42,35.4,27,43,0.2,1,1,32280,6456,7575,3965
Brad Loney,28,0,0.0,1,0.03571,2,0.07143,6,0.21429,27.07,9,43,29.79,5,43,0.0,0,0,262390,9371,25950,2650
Brad Mueller,1,0,0.0,0,0.0,0,0.0,0,0.0,43.0,43,43,43.0,43,43,0.0,0,0,10167,10167,10167,10167
Brad Noffsinger,5,0,0.0,0,0.0,0,0.0,0,0.0,32.2,19,42,34.0,27,40,0.0,0,0,38567,7713,11350,4700
Brad Payne,1,0,0.0,0,0.0,0,0.0,0,0.0,42.0,42,42,26.0,26,26,0.0,0,0,12100,12100,12100,12100
Brad Perez,9,0,0.0,0,0.0,0,0.0,3,0.33333,28.33,21,31,25.78,18,38,0.0,0,0,0,,,
Brad Sorenson,1,0,0.0,0,0.0,0,0.0,1,1.0,28.0,28,28,13.0,13,13,0.0,0,0,1290,1290,1290,1290
Brad Sweet,36,0,0.0,0,0.0,6,0.16667,22,0.61111,16.53,6,38,18.94,6,34,0.0,0,0,802019,22278,29225,16725
Brad Teague,241,1,0.00415,11,0.04564,43,0.17842,89,0.36929,25.41,1,43,25.35,1,43,1.73,418,89,2089510,8670,45660,270
Brandon Baker,14,0,0.0,0,0.0,0,0.0,3,0.21429,27.43,4,37,26.43,16,39,0.0,0,0,15238,1088,2050,500
Brandon Brown,150,1,0.00667,6,0.04,20,0.13333,89,0.59333,20.38,2,38,19.89,1,40,0.45,67,12,0,,,
Brandon Butler,5,0,0.0,0,0.0,0,0.0,2,0.4,22.6,13,34,28.0,14,40,0.0,0,0,44945,8989,12875,4000
Brandon Gdovic,16,0,0.0,0,0.0,1,0.0625,6,0.375,29.5,19,39,21.44,8,36,0.0,0,0,74561,24854,28208,21804
Brandon Hightower,19,0,0.0,0,0.0,0,0.0,1,0.05263,34.68,27,40,30.68,13,39,0.0,0,0,0,,,
Brandon Jones,283,5,0.01767,40,0.14134,116,0.40989,208,0.73498,12.08,1,40,15.52,1,40,3.17,896,106,138095,27619,31236,22289
