owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Doug Hoelzle,1,0,0.0,0,0,0,1,0.0,30.0,25.0,0,0.0
Doug Keller,15,0,0.0,0,0,3,15,0.0,30.0,24.13,0,0.0
Doug Stringer,21,0,0.0,0,1,12,21,0.0,19.57,19.48,0,0.0
Doug Thompson,3,0,0.0,0,0,2,3,0.0,31.0,23.67,0,0.0
"Doug Thorpe, Jr.",1,0,0.0,0,0,0,1,0.0,28.0,25.0,0,0.0
Duane Bischoff,1,0,0.0,0,0,0,1,0.0,34.0,25.0,0,0.0
Duke Thorson,652,28,0.04294,237,538,964,1299,0.02156,13.86,14.39,5092,3.92
Dustin Hapka,1,0,0.0,0,0,0,1,0.0,33.0,27.0,0,0.0
Dwayne Gaulding,25,0,0.0,2,4,15,54,0.0,23.04,25.85,101,1.87
Dwayne Tatman,3,0,0.0,0,0,1,3,0.0,31.67,24.0,0,0.0
Earl Barban,3,0,0.0,1,2,3,3,0.0,19.33,9.0,2,0.67
Ed Rensi,45,0,0.0,4,14,33,46,0.0,17.96,15.91,19,0.41
Ed Scherer,24,0,0.0,0,0,6,24,0.0,25.21,24.88,0,0.0
Ed Sutton,55,0,0.0,0,0,7,55,0.0,29.22,27.4,1,0.02
Eddie Sharp,73,2,0.0274,10,32,86,116,0.01724,13.92,15.94,219,1.89
Edward Asbury,6,0,0.0,0,0,1,6,0.0,23.0,25.33,0,0.0
Erickson Manufacturing,1,0,0.0,0,0,0,1,0.0,23.0,36.0,0,0.0
Ernest Winslow,1,0,0.0,0,0,0,1,0.0,22.0,26.0,0,0.0
Eugene Hieber,1,0,0.0,0,0,0,1,0.0,36.0,22.0,0,0.0
FR8 Factory,2,0,0.0,0,0,0,2,0.0,28.5,30.5,0,0.0
Faith Motorsports,4,0,0.0,0,0,2,4,0.0,25.25,20.75,0,0.0
Felix Sabates,8,0,0.0,2,5,7,8,0.0,8.75,10.0,0,0.0
