owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Pat Mintey,4,0,0.0,39.0,36,42,34.5,29,38,0.0,0,0,59.5,,3675,919,1175,700
Pat Patrick,1,0,0.0,43.0,43,43,44.0,44,44,0.0,0,0,,,500,500,500,500
Pat Rissi,9,0,0.0,37.11,35,40,35.44,28,40,0.0,0,0,56.67,,43270,4808,6155,3450
Patricia Bandzul,1,0,0.0,30.0,30,30,29.0,29,29,0.0,0,0,76.0,,4000,4000,4000,4000
Patsy Salmon,9,0,0.0,36.44,25,40,31.67,18,40,0.0,0,0,68.0,,30995,3444,10450,1590
Patty Moise,2,0,0.0,35.5,35,36,36.0,33,39,0.0,0,0,55.0,,6180,3090,3485,2695
Paul Aars,1,0,0.0,45.0,45,45,10.0,10,10,0.0,0,0,,,200,200,200,200
Paul Bass,1,0,0.0,40.0,40,40,46.0,46,46,0.0,0,0,,,100,100,100,100
Paul Burchard,5,0,0.0,37.0,18,50,31.0,7,46,0.0,0,0,,,6480,1296,1845,720
Paul Clark,4,0,0.0,20.5,5,39,31.75,20,44,0.0,0,0,,,875,292,450,175
Paul Clayton,20,0,0.0,19.65,7,37,19.45,5,41,0.0,0,0,,,5600,280,800,50
Paul Cox,3,0,0.0,47.0,33,61,37.33,17,63,0.0,0,0,,,25,25,25,25
"Paul Craig, Jr.",1,0,0.0,38.0,38,38,18.0,18,18,0.0,0,0,,,75,75,75,75
Paul Dean Holt,1,0,0.0,37.0,37,37,34.0,34,34,0.0,0,0,,,725,725,725,725
Paul Ingle,3,0,0.0,34.0,28,38,35.33,29,41,0.33,1,1,58.67,,6045,2015,2400,1645
Paul Jenkins,2,0,0.0,34.0,31,37,21.0,17,25,0.0,0,0,,,1425,713,785,640
Paul Jett,1,0,0.0,33.0,33,33,18.0,18,18,0.0,0,0,,,680,680,680,680
Paul Lewis,45,1,0.02222,15.2,1,43,11.0,1,37,1.49,67,64,,,29005,645,2250,25
Paul McDuffie,7,1,0.14286,13.14,3,30,20.71,1,42,6.86,48,48,,,29708,4244,27150,250
Paul Newkirk,3,0,0.0,32.5,27,38,20.33,5,43,0.0,0,0,,,525,263,500,25
Paul Nunn,5,0,0.0,16.2,4,33,34.0,8,65,0.0,0,0,,,175,88,100,75
Paul Parks,3,0,0.0,41.0,21,65,27.67,18,37,0.0,0,0,,,250,125,200,50
Paul Pettit,7,0,0.0,17.8,7,42,18.57,5,31,0.0,0,0,,,485,81,325,10
Paul Roberts,1,0,0.0,10.0,10,10,11.0,11,11,0.0,0,0,,,50,50,50,50
Paul Romine,1,0,0.0,33.0,33,33,32.0,32,32,0.0,0,0,67.0,,3040,3040,3040,3040
Paul Spaulding,60,11,0.18333,10.63,1,33,11.68,1,54,7.98,479,90,,,23040,419,3160,20
Paul Stockwell,5,0,0.0,34.0,24,40,33.8,27,39,0.0,0,0,,,5190,1038,1870,630
Paul Tyler,9,0,0.0,23.78,11,30,25.89,12,45,0.0,0,0,,,6335,704,1125,450
Paul Walton,2,0,0.0,8.0,3,13,10.0,4,16,0.0,0,0,,,310,155,250,60
Paul Whiteman,7,1,0.14286,9.75,1,25,22.29,1,51,4.0,28,28,,,1945,389,1000,25
Paul Wilson,1,0,0.0,12.0,12,12,18.0,18,18,0.0,0,0,,,60,60,60,60
Peck Peckham,7,0,0.0,44.33,23,70,27.43,13,67,0.0,0,0,,,410,59,125,10
Pederson Motors,1,0,0.0,41.0,41,41,20.0,20,20,0.0,0,0,,,425,425,425,425
Pee Wee Griffin,3,0,0.0,14.33,11,19,24.33,9,35,0.0,0,0,107.0,,3380,1127,1800,740
Pee Wee Martin,3,0,0.0,7.0,4,10,18.67,8,28,0.0,0,0,,,150,75,125,25
Penny Mullis,1,0,0.0,,,,11.0,11,11,0.0,0,0,,,50,50,50,50
Pepper Cunningham,11,0,0.0,9.67,3,22,27.27,6,64,0.0,0,0,,,435,62,200,10
Perkins Motors,1,0,0.0,,,,24.0,24,24,0.0,0,0,,,25,25,25,25
Perry Smith,32,2,0.0625,8.95,1,51,18.34,1,82,16.16,517,186,,,6020,208,1000,10
Pete Boland,3,0,0.0,15.0,9,25,18.33,13,27,0.0,0,0,,,170,85,100,70
Pete DePaolo,178,21,0.11798,8.39,1,42,11.53,1,59,16.31,2904,201,,,73695,439,4100,25
Pete Hazelwood,20,0,0.0,22.75,17,29,18.5,10,28,0.0,0,0,,,5220,261,520,100
Pete Kelly,4,0,0.0,23.0,10,32,36.0,19,52,0.0,0,0,,,185,62,100,35
Pete Mann,1,0,0.0,21.0,21,21,13.0,13,13,0.0,0,0,,,350,350,350,350
Pete Stewart,71,1,0.01408,15.47,1,44,15.73,1,44,1.04,74,72,,,18420,267,1350,50
Pete Torres,1,0,0.0,18.0,18,18,34.0,34,34,0.0,0,0,,,645,645,645,645
Pete Yow,11,0,0.0,24.18,13,56,18.55,9,50,0.0,0,0,,,700,88,100,50
Petty Enterprises,2818,268,0.0951,15.36,1,52,15.5,1,57,21.68,61086,491,101.85,,73961697,26387,329756,25
Petty GMS Motorsports,72,1,0.01389,23.94,2,35,19.4,1,36,2.07,149,25,18.67,0.07,0,,,
Phil Barkdoll,28,0,0.0,28.82,16,40,28.79,15,41,0.18,5,2,78.23,,306910,10961,86105,1005
Phil Dickerson,1,0,0.0,34.0,34,34,29.0,29,29,0.0,0,0,,,485,485,485,485
Phil Finney,5,0,0.0,35.0,28,45,29.0,20,38,0.0,0,0,70.0,,5180,1036,1810,400
Phil Good,7,0,0.0,33.29,27,39,26.86,17,39,0.0,0,0,82.43,,10725,1532,1850,1065
Phil Howard,5,0,0.0,19.8,15,25,21.6,8,32,1.4,7,6,100.8,,7920,1584,2850,675
Phil Kord,2,0,0.0,32.5,30,35,20.5,19,22,0.0,0,0,101.5,,3115,1558,1990,1125
Phil Oates,94,0,0.0,10.24,1,71,12.94,2,75,0.95,89,71,,,19355,210,2000,10
Phil Orr,2,0,0.0,19.0,16,22,20.0,13,27,0.0,0,0,,,160,80,110,50
Phil Parsons,109,0,0.0,32.94,3,43,40.53,24,43,0.17,18,4,29.15,,8675101,79588,273963,61050
Philip Duffie,12,0,0.0,35.42,25,40,25.58,16,38,0.0,0,0,86.25,,30805,2567,4710,1250
Pollock Motors,1,0,0.0,28.0,28,28,38.0,38,38,0.0,0,0,,,200,200,200,200
Pop McGinnis,1,0,0.0,25.0,25,25,9.0,9,9,0.0,0,0,,,330,330,330,330
Possum Jones,9,0,0.0,21.67,12,39,20.33,7,36,0.0,0,0,,,2560,284,650,50
Preston Jones,2,0,0.0,65.0,65,65,25.5,13,38,0.0,0,0,,,75,38,50,25
Pug Blalock,2,0,0.0,,,,16.5,9,24,0.0,0,0,,,100,50,75,25
R & W Auto Service,1,0,0.0,13.0,13,13,29.0,29,29,0.0,0,0,,,0,,,
R. Spearman,4,0,0.0,24.0,24,24,14.0,12,15,0.0,0,0,,,100,25,25,25
R.B. Chumley,2,0,0.0,20.5,12,29,19.5,12,27,0.0,0,0,,,990,495,630,360
