driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Ed Howland,1,0,0.0,39.0,39,39,23.0,23,23,0.0,0,0,,,760,760,760,760
Ed Jackson,2,0,0.0,22.0,22,22,14.0,13,15,0.0,0,0,,,160,80,110,50
Ed Jordan,3,0,0.0,21.67,14,31,25.0,13,40,0.0,0,0,,,460,153,250,100
Ed Kretz,1,0,0.0,4.0,4,4,60.0,60,60,0.0,0,0,,,0,,,
Ed Livingston,47,0,0.0,26.36,5,46,21.45,4,43,0.0,0,0,,,11090,246,575,50
Ed Markstellar,6,0,0.0,38.83,29,56,34.0,22,48,0.0,0,0,,,1025,205,300,125
Ed Massey,8,0,0.0,22.5,17,28,18.63,10,25,0.0,0,0,,,225,32,50,25
Ed Negre,338,0,0.0,23.92,2,47,21.7,4,45,0.01,3,2,97.1,,328967,988,5635,50
Ed Normi,3,0,0.0,23.0,21,25,22.33,11,41,0.0,0,0,,,315,105,250,25
Ed Paskovich,10,0,0.0,28.25,17,39,26.5,10,43,0.0,0,0,,,360,51,150,10
Ed Pimm,5,0,0.0,34.2,28,40,32.2,24,42,0.2,1,1,67.4,,20160,4032,11605,1235
Ed Rooney,1,0,0.0,42.0,42,42,37.0,37,37,0.0,0,0,,,25,25,25,25
Ed Samples,13,0,0.0,10.78,4,25,17.46,2,44,0.0,0,0,,,1835,153,700,10
Ed Sanger,1,0,0.0,29.0,29,29,26.0,26,26,0.0,0,0,85.0,,910,910,910,910
Ed Sczech,4,0,0.0,19.5,11,24,28.75,20,34,0.0,0,0,,,4270,1068,1340,565
Ed Spencer,1,0,0.0,,,,20.0,20,20,0.0,0,0,,,25,25,25,25
Ed Tyson,1,0,0.0,12.0,12,12,21.0,21,21,0.0,0,0,,,50,50,50,50
Ed Westveer,1,0,0.0,9.0,9,9,40.0,40,40,0.0,0,0,,,25,25,25,25
Eddie Adams,2,0,0.0,21.0,21,21,23.5,13,34,0.0,0,0,,,25,25,25,25
Eddie Anderson,6,0,0.0,23.75,8,40,30.5,11,54,0.0,0,0,,,85,21,25,10
Eddie Bierschwale,118,0,0.0,30.94,7,42,26.51,10,42,0.03,3,2,82.36,,505735,4323,31725,780
Eddie Bond,6,0,0.0,35.0,24,44,23.83,12,31,0.0,0,0,,,6901,1150,1855,645
Eddie Bradshaw,7,0,0.0,28.71,12,37,21.0,9,37,0.0,0,0,94.17,,8400,1200,2190,600
Eddie Dickerson,2,0,0.0,34.5,29,40,21.5,21,22,0.0,0,0,98.5,,1590,795,850,740
Eddie Flemke,1,0,0.0,17.0,17,17,12.0,12,12,0.0,0,0,,,175,175,175,175
Eddie Gray,22,4,0.18182,15.0,1,39,13.59,1,34,5.91,130,75,,,11740,559,3225,25
Eddie LaRue,1,0,0.0,,,,33.0,33,33,0.0,0,0,,,25,25,25,25
Eddie Lenz,3,0,0.0,9.0,9,9,24.0,14,38,0.0,0,0,,,50,25,25,25
Eddie MacDonald,6,0,0.0,33.33,13,41,28.0,8,37,0.0,0,0,7.0,,159817,31963,79165,450
Eddie McDonald,1,0,0.0,25.0,25,25,19.0,19,19,0.0,0,0,,,100,100,100,100
Eddie Pagan,62,4,0.06452,10.98,1,43,10.94,1,45,4.81,298,241,,,20155,336,2475,20
Eddie Pettyjohn,4,0,0.0,17.25,13,29,26.5,10,40,0.25,1,1,,,5030,1258,1575,570
Eddie Riker,7,0,0.0,21.5,14,29,16.43,6,28,0.0,0,0,,,530,88,150,25
Eddie Sheeler,2,0,0.0,32.0,32,32,22.0,20,24,0.0,0,0,,,75,38,50,25
Eddie Skinner,73,0,0.0,19.74,4,75,16.56,5,42,0.0,0,0,,,6280,92,350,25
Eddie Van Horn,6,0,0.0,24.33,19,32,22.33,10,53,0.0,0,0,,,160,32,50,25
Eddie Yarboro,33,0,0.0,25.52,10,38,20.3,9,59,0.0,0,0,,,12695,410,1200,25
Edgar Wallen,3,0,0.0,19.67,13,24,14.0,13,15,0.0,0,0,,,360,120,150,100
Eduardo Dibos,3,0,0.0,10.0,3,18,19.33,5,48,0.0,0,0,,,1050,350,725,100
Edward Cooper,3,0,0.0,37.0,35,39,37.33,35,41,0.0,0,0,51.0,,9600,3200,4350,1375
Elbert Allen,8,0,0.0,18.0,12,30,15.5,7,35,0.0,0,0,,,350,44,125,25
Eldon Dotson,2,0,0.0,39.0,38,40,38.0,38,38,0.0,0,0,49.0,,2805,1403,1675,1130
Eldon Yarbrough,3,0,0.0,25.67,19,35,23.67,5,37,0.0,0,0,,,1405,468,580,325
Elgin Holmes,3,0,0.0,23.0,12,35,22.67,15,29,0.0,0,0,,,160,53,75,35
Eli Vukovich,1,0,0.0,23.0,23,23,17.0,17,17,0.0,0,0,,,25,25,25,25
Elias Bowie,1,0,0.0,31.0,31,31,28.0,28,28,0.0,0,0,,,90,90,90,90
Elliott Forbes-Robinson,23,0,0.0,27.13,12,40,26.13,8,40,0.0,0,0,82.96,,55795,2536,6550,500
Elliott Sadler,438,3,0.00685,21.47,1,43,22.78,1,43,2.86,1251,128,94.64,0.0,42938971,98710,957037,20760
Ellis Pearce,1,0,0.0,,,,10.0,10,10,0.0,0,0,,,50,50,50,50
Elmer Cooper,1,0,0.0,50.0,50,50,29.0,29,29,0.0,0,0,,,110,110,110,110
Elmer Gilliam,4,0,0.0,24.0,17,29,28.25,20,35,0.0,0,0,,,425,142,225,100
Elmer Musclow,2,0,0.0,,,,15.0,15,15,0.0,0,0,,,50,25,25,25
Elmer Wilson,7,0,0.0,49.33,39,57,24.29,11,49,0.0,0,0,,,235,47,100,10
Elmo Henderson,21,0,0.0,21.62,4,57,21.71,5,59,0.0,0,0,,,4715,225,725,50
Elmo Langley,535,2,0.00374,17.03,1,55,15.87,1,59,0.72,386,231,108.43,,370222,704,4535,25
Elton Hildreth,51,0,0.0,21.57,7,50,21.16,4,56,0.0,0,0,,,3260,69,400,10
Elton Sawyer,29,0,0.0,26.79,2,42,29.0,14,41,0.0,0,0,76.0,,521308,17976,55520,6615
Emanuel Zervakis,83,2,0.0241,13.95,1,80,14.82,1,76,4.71,391,361,,,38035,481,3125,25
Emory Lewis,7,0,0.0,12.17,6,23,19.43,6,46,0.0,0,0,,,730,146,300,25
Emory Mahan,5,0,0.0,12.4,6,18,15.0,4,23,0.0,0,0,,,520,130,270,50
Eric McClure,3,0,0.0,34.33,27,41,29.67,26,32,0.33,1,1,75.67,,212100,70700,77050,65175
Erick Erickson,25,0,0.0,19.89,3,45,16.76,2,54,0.04,1,1,,,3835,160,800,25
Erik Darnell,9,0,0.0,37.11,31,42,33.78,29,42,0.0,0,0,52.67,,879493,97721,127529,63765
Erik Jones,269,3,0.01115,18.03,1,38,17.36,1,40,3.07,827,260,21.71,0.06,382473,127491,153326,110321
Ermon Rush,4,0,0.0,18.0,18,18,15.75,13,19,0.0,0,0,,,215,54,140,25
Ernest Eury,9,0,0.0,24.56,12,40,20.89,6,39,0.0,0,0,,,1390,174,250,100
Ernest Palmer,1,0,0.0,58.0,58,58,52.0,52,52,0.0,0,0,,,0,,,
Ernie Boost,3,0,0.0,23.33,17,30,14.33,10,19,0.0,0,0,,,100,33,50,25
Ernie Cline,4,0,0.0,31.75,28,35,31.0,29,35,0.0,0,0,69.0,,2970,743,910,550
Ernie Cope,1,0,0.0,44.0,44,44,44.0,44,44,0.0,0,0,31.0,,8605,8605,8605,8605
Ernie Derr,1,0,0.0,,,,11.0,11,11,0.0,0,0,,,25,25,25,25
Ernie Dietzman,1,0,0.0,,,,24.0,24,24,0.0,0,0,,,25,25,25,25
Ernie Gahan,11,0,0.0,23.91,7,52,18.18,6,57,0.0,0,0,,,2215,201,500,50
Ernie Gesell,1,0,0.0,17.0,17,17,9.0,9,9,0.0,0,0,,,200,200,200,200
Ernie Irvan,313,15,0.04792,16.21,1,42,17.35,1,43,17.48,5471,402,116.46,,9851089,31473,267285,860
Ernie Shaw,9,0,0.0,26.78,19,34,17.22,8,26,0.0,0,0,115.0,,5880,653,1500,200
Ernie Stierly,5,0,0.0,31.4,23,35,27.6,19,35,0.0,0,0,80.2,,5090,1018,1870,650
Ernie Weidler,1,0,0.0,,,,18.0,18,18,0.0,0,0,,,25,25,25,25
Ernie Yorton,1,0,0.0,,,,9.0,9,9,0.0,0,0,,,75,75,75,75
Ernie Young,14,0,0.0,19.77,6,31,19.14,4,34,0.0,0,0,,,1050,88,350,25
Ervin Carpenter,1,0,0.0,25.0,25,25,31.0,31,31,0.0,0,0,,,75,75,75,75
Ervin Pruitt,9,0,0.0,23.0,15,34,17.67,7,38,0.0,0,0,,,2780,309,600,100
Ethel Mobley,2,0,0.0,42.0,42,42,27.5,11,44,0.0,0,0,,,50,50,50,50
